O que é o Ensino Profissional Marítimo (EPM)?,É o ensino destinado ao preparo técnico-profissional do pessoal da Marinha Mercante e atividades correlatas.
Qual órgão da MB atua como órgão central do Sistema de Ensino Profissional Marítimo?,A Diretoria de Portos e Costas (DPC).
Qual é a atribuição subsidiária particular da Marinha referente à segurança da navegação?,Prover a segurança da navegação aquaviária.
Qual lei é conhecida como Lei de Segurança do Tráfego Aquaviário (LESTA)?,"A Lei nº 9.537, de 11 de dezembro de 1997."
Quem é a Autoridade Marítima (AM) responsável por implementar e executar a LESTA?,A Marinha do Brasil.
Qual atividade tem a finalidade de implementar e fiscalizar o cumprimento da LESTA e do RLESTA nas Águas Jurisdicionais Brasileiras (AJB)?,A Patrulha Naval (PATNAV).
"De acordo com a LESTA, qual é a responsabilidade da Autoridade Marítima sobre as zonas de praticagem?","Regulamentar o serviço, estabelecer as zonas de praticagem obrigatória e especificar as embarcações dispensadas."
O que é apurado por meio de um Inquérito Administrativo sobre Acidentes e Fatos da Navegação (IAFN)?,"Apuram-se os acidentes e fatos da navegação, para posterior julgamento no Tribunal Marítimo."
"Qual lei, conhecida como Lei do Óleo, atribui responsabilidades à Autoridade Marítima na prevenção da poluição ambiental?","A Lei nº 9.966, de 28 de abril de 2000."
Qual é a atribuição subsidiária particular da Marinha em relação às políticas nacionais sobre o mar?,Contribuir para a formulação e condução de políticas nacionais que digam respeito ao mar.
"Qual é a sigla da Política Nacional para Assuntos Antárticos, que a Marinha ajuda a promover?",POLANTAR.
Qual programa visa o levantamento da plataforma continental brasileira e conta com a participação da MB?,O Programa de Levantamento da Plataforma Continental Brasileira (LEPLAC).
O que é o PROANTAR?,"É o Programa Antártico Brasileiro, no qual a Marinha participa e promove."
Qual é o objetivo do Programa de Mentalidade Marítima (PROMAR)?,"Contribuir para a criação da mentalidade marítima na sociedade brasileira, enfatizando a importância do Poder Marítimo."
O que é o SIPRON?,É o Sistema de Proteção ao Programa Nuclear Brasileiro.
Qual é uma das atribuições da MB como órgão de apoio ao SIPRON em relação à segurança nuclear?,Proporcionar segurança ao transporte aquaviário de equipamento vital e material nuclear.
"Qual é a missão do Projeto Soldado Cidadão, um programa social conduzido pelo MD?","Qualificar profissionalmente os recrutas que prestam o Serviço Militar, facilitando seu ingresso no mercado de trabalho."
"Qual programa social busca atender às carências de comunidades locais em estados como Acre, Amapá e Amazonas, aumentando a presença estatal?",O Programa Calha Norte.
Qual o objetivo geral do Programa Forças no Esporte?,Promover a integração social por meio da prática esportiva em instalações militares.
"O relacionamento internacional de defesa pode contribuir para a estratégia de defesa, pois promove a _____ mútua, a cooperação e o estreitamento de laços de amizade.",confiança
"Qual é uma das ações operativas que as ASSHOP possibilitam, relacionada à logística?","Manter um elevado nível de capacitação na função logística saúde, principalmente no atendimento de patologias regionais."
A quem compete adotar as providências para prover serviços de busca e salvamento de vida humana em perigo no mar?,Compete à Marinha do Brasil.
O socorro da tripulação de submarino sinistrado (SARSUB) é uma operação _____ que exige pessoal e navio específicos.,complexa
"No caso de incidentes SAR com aeronaves da MB, quem deve ser acionado para assumir a coordenação da operação?",O SALVAERO regional deve ser acionado tempestivamente.
"A Autoridade Naval pode intervir em operações de salvamento para prevenir, controlar ou evitar danos à propriedade de terceiros ou ao _____.",meio ambiente
A absorção de tecnologia pela MB pode gerar um 'arrasto tecnológico' para a sociedade civil por meio de qual tipo de aplicação?,Por aplicação dual.
"Quais são as duas atribuições subsidiárias particulares da Marinha, conforme o artigo 17 da Lei Complementar nº 97/1999?",1) Orientar e controlar a Marinha Mercante; e 2) Prover a segurança da navegação aquaviária.
O que são as NORMAM?,"São as Normas da Autoridade Marítima, elaboradas para regulamentar diversos aspectos da segurança do tráfego aquaviário."
"A quem cabe determinar a tripulação de segurança das embarcações, segundo a LESTA?",Cabe à Autoridade Marítima.
"A qual diretoria-geral da Marinha compete contribuir para o preparo e aplicação do Poder Naval no tocante à hidrografia, oceanografia e meteorologia?",À Diretoria-Geral de Navegação.
O crescimento do Poder Marítimo cria condições favoráveis para o desenvolvimento do _____.,Poder Naval
"No âmbito do SIPRON, a MB pode interditar ou restringir a _____ em determinadas áreas para a defesa de Unidades Operacionais.",navegação
As atividades benignas do Poder Naval decorrem de quais fontes legais e documentais?,"Da Constituição (CRFB), Leis Complementares e Ordinárias, Decretos, documentos nacionais de defesa e da missão da MB."
Como o emprego do Poder Naval na 'diplomacia naval' pode influenciar outros Estados?,"Pode influenciar a opinião pública e os dirigentes, reforçar laços de amizade, garantir acordos e dissuadir ações desfavoráveis."
As ASSHOP contribuem para a segurança da navegação de que maneira?,"Auxiliam na fiscalização e reportam alterações fisiográficas, perigos e o estado dos auxílios à navegação."
A tarefa de prestar socorro à vida humana no mar se aplica somente a embarcações de bandeira brasileira?,"Não, aplica-se a todas que estiverem navegando no interior da região SAR atribuída ao Brasil."
"A operação de salvamento de material, como desencalhe e reflutuação, exige que tipo de meios?","Exige navios especializados, sendo o rebocador o mais comum entre eles."
De que forma a MB coopera com o desenvolvimento nacional na área de pesquisa científica?,Conduzindo ou fomentando a pesquisa científica para possibilitar o desenvolvimento de novas tecnologias.
"Qual é a responsabilidade da Autoridade Marítima na fiscalização de navios, segundo a Lei do Óleo?","Fiscalizar navios, plataformas e suas instalações de apoio, e as cargas de natureza nociva ou perigosa, autuando os infratores."
